title,publisher,link,published,summary
,,,,Nvidia is evolving to focus on inferencing and AI agents.
,,,,"Yahoo Finance's John Hyland tracks Thursday's top moving stocks and biggest market stories in this Market Minute. US stocks (^DJI, ^GSPC, ^IXIC) are falling for a third straight session as investors stayed in risk-off mode amid ongoing geopolitical tensions and uncertainty around the global energy outlook. In the bond market (^TYX, ^TNX, ^FVX), short-term yields rose as traders reassessed rate expectations, shifting from anticipated cuts to potential hikes. Super Micro Computer (SMCI) shares plunged after US authorities charged a co-founder with illegally diverting Nvidia-powered (NVDA) servers to China, though the company was not named in the case."
,,,,"Market Catalysts host Julie Hyman takes a look at some of Friday morning's trending tickers and stories. FedEx (FDX) earnings beat Wall Street's estimates on the top and bottom lines. The company also lifted its full-year guidance. The co-founder of Super Micro Computer (SMCI), Yih-Shyan ""Wally"" Liaw, was arrested for allegedly smuggling Nvidia (NVDA)-powered servers to China. Planet Labs (PL) stock is skyrocketing after the company beat fourth quarter revenue expectations."
,,,,"The major indexes broke long-term support as oil prices and bond yields soar. President Trump said late Friday he's mulling ""winding down"" the Iran war hours after saying that was not ""acceptable."""
,,,,"Emerging markets stocks are carrying last year's momentum into 2026, and the Schwab Fundamental Emerging Markets Equity ETF is benefiting."
